"__Student","Student","Course","Course Limit","Controlling Course","Primary","Priority","Alternativity","Enrolled","Credits","Sections","Preferred Sections","Required Sections","Instructional Method","Preferred Instructional Methods","Required Instructional Methods","Critical"
"112",""," C8","","","Yes","2","0","Yes","0.0","S20","","","","","","No"
"113",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"113",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"114",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"115",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"116",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"117",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"118",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"119",""," C17","","","Yes","1","0","Yes","0.0","S40","","","","","","No"
"120",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"121",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"122",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"123",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"124",""," C14","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"125",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"126",""," C17","","","Yes","1","0","Yes","0.0","S39","","","","","","No"
"127",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"128",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"129",""," C7","","","Yes","1","0","Yes","0.0","S16","","","","","","No"
"129",""," C4","","","Yes","2","0","Yes","0.0","S7","","","","","","No"
"129",""," C8","","","Yes","3","0","Yes","0.0","S21","","","","","","No"
"129",""," C13","","","Yes","4","0","Yes","0.0","S31","","","","","","No"
"129",""," C15","","","Yes","5","0","Yes","0.0","S35","","","","","","No"
"130",""," C1","","","Yes","1","0","Yes","0.0","S1","","","","","","No"
"131",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"132",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"133",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"134",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"135",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"135",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"136",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"137",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"138",""," C10","","","Yes","1","0","Yes","0.0","S25","","","","","","No"
"139",""," C11","","","Yes","1","0","Yes","0.0","S26","","","","","","No"
"139",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"140",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"140",""," C10","","","Yes","2","0","Yes","0.0","S24","","","","","","No"
"140",""," C11","","","Yes","3","0","Yes","0.0","S26","","","","","","No"
"141",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"141",""," C7","","","Yes","2","0","Yes","0.0","S19","","","","","","No"
"141",""," C4","","","Yes","3","0","Yes","0.0","S7","","","","","","No"
"141",""," C19","","","Yes","4","0","Yes","0.0","S43","","","","","","No"
"142",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"142",""," C5","","","Yes","2","0","Yes","0.0","S13","","","","","","No"
"142",""," C1","","","Yes","3","0","Yes","0.0","S1","","","","","","No"
"143",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"143",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"143",""," C19","","","Yes","3","0","Yes","0.0","S42","","","","","","No"
"144",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"145",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"145",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"145",""," C19","","","Yes","3","0","Yes","0.0","S43","","","","","","No"
"146",""," C14","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"147",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"148",""," C5","","","Yes","1","0","Yes","0.0","S13","","","","","","No"
"149",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"149",""," C11","","","Yes","2","0","Yes","0.0","S27","","","","","","No"
"149",""," C19","","","Yes","3","0","Yes","0.0","S42","","","","","","No"
"150",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"150",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"151",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"152",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"153",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"154",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"155",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"156",""," C5","","","Yes","1","0","Yes","0.0","S10","","","","","","No"
"157",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"158",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"158",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"159",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"160",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"161",""," C17","","","Yes","1","0","Yes","0.0","S40","","","","","","No"
"162",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"163",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"164",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"164",""," C17","","","Yes","2","0","Yes","0.0","S37","","","","","","No"
"164",""," C1","","","Yes","3","0","Yes","0.0","S1","","","","","","No"
"164",""," C14","","","Yes","4","0","Yes","0.0","S34","","","","","","No"
"165",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"166",""," C1","","","Yes","1","0","Yes","0.0","S4","","","","","","No"
"167",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"167",""," C8","","","Yes","2","0","Yes","0.0","S20","","","","","","No"
"167",""," C11","","","Yes","3","0","Yes","0.0","S27","","","","","","No"
"168",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"169",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"169",""," C17","","","Yes","2","0","Yes","0.0","S37","","","","","","No"
"169",""," C1","","","Yes","3","0","Yes","0.0","S1","","","","","","No"
"169",""," C14","","","Yes","4","0","Yes","0.0","S34","","","","","","No"
"170",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"171",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"172",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"173",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"174",""," C11","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"174",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"175",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"175",""," C5","","","Yes","2","0","Yes","0.0","S12","","","","","","No"
"175",""," C1","","","Yes","3","0","Yes","0.0","S4","","","","","","No"
"176",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"176",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"177",""," C5","","","Yes","1","0","Yes","0.0","S10","","","","","","No"
"178",""," C11","","","Yes","1","0","Yes","0.0","S26","","","","","","No"
"178",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"179",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"180",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"181",""," C5","","","Yes","1","0","Yes","0.0","S8","","","","","","No"
"182",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"183",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"183",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"183",""," C19","","","Yes","3","0","Yes","0.0","S42","","","","","","No"
"184",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"185",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"186",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"187",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"188",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"188",""," C17","","","Yes","2","0","Yes","0.0","S39","","","","","","No"
"188",""," C1","","","Yes","3","0","Yes","0.0","S1","","","","","","No"
"189",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"190",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"191",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"192",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"193",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"194",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"195",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"195",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"195",""," C13","","","Yes","3","0","Yes","0.0","S31","","","","","","No"
"196",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"197",""," C1","","","Yes","1","0","Yes","0.0","S3","","","","","","No"
"198",""," C1","","","Yes","1","0","Yes","0.0","S1","","","","","","No"
"199",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"199",""," C11","","","Yes","2","0","Yes","0.0","S27","","","","","","No"
"200",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"201",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"201",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"202",""," C1","","","Yes","1","0","Yes","0.0","S4","","","","","","No"
"203",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"204",""," C5","","","Yes","1","0","Yes","0.0","S8","","","","","","No"
"204",""," C16","","","Yes","2","0","Yes","0.0","S36","","","","","","No"
"204",""," C11","","","Yes","3","0","Yes","0.0","S27","","","","","","No"
"205",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"206",""," C17","","","Yes","1","0","Yes","0.0","S39","","","","","","No"
"207",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"208",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"208",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"208",""," C19","","","Yes","3","0","Yes","0.0","S43","","","","","","No"
"209",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"209",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"210",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"211",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"212",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"213",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"214",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"215",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"215",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"215",""," C19","","","Yes","3","0","Yes","0.0","S42","","","","","","No"
"216",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217",""," C5","","","Yes","1","0","Yes","0.0","S8","","","","","","No"
"218",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"219",""," C10","","","Yes","1","0","Yes","0.0","S24","","","","","","No"
"219",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"220",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"221",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"221",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"222",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"223",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"224",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"224",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"225",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"226",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"226",""," C10","","","Yes","2","0","Yes","0.0","S23","","","","","","No"
"226",""," C5","","","Yes","3","0","Yes","0.0","S11","","","","","","No"
"227",""," C15","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"228",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"229",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"230",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"230",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"231",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"232",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"232",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"233",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"234",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"235",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"235",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"236",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"237",""," C14","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"238",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"238",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"238",""," C19","","","Yes","3","0","Yes","0.0","S43","","","","","","No"
"239",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"240",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"241",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"242",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"242",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"243",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"244",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"245",""," C1","","","Yes","1","0","Yes","0.0","S3","","","","","","No"
"246",""," C5","","","Yes","1","0","Yes","0.0","S13","","","","","","No"
"246",""," C16","","","Yes","2","0","Yes","0.0","S36","","","","","","No"
"246",""," C19","","","Yes","3","0","Yes","0.0","S42","","","","","","No"
"247",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"248",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"249",""," C11","","","Yes","1","0","Yes","0.0","S26","","","","","","No"
"249",""," C13","","","Yes","2","0","Yes","0.0","S31","","","","","","No"
"250",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"251",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"252",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"253",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"253",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"254",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"254",""," C1","","","Yes","2","0","Yes","0.0","S3","","","","","","No"
"254",""," C14","","","Yes","3","0","Yes","0.0","S33","","","","","","No"
"255",""," C5","","","Yes","1","0","Yes","0.0","S10","","","","","","No"
"255",""," C8","","","Yes","2","0","Yes","0.0","S21","","","","","","No"
"256",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"256",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"257",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"257",""," C5","","","Yes","2","0","Yes","0.0","S10","","","","","","No"
"258",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"258",""," C11","","","Yes","2","0","Yes","0.0","S27","","","","","","No"
"259",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"259",""," C11","","","Yes","2","0","Yes","0.0","S27","","","","","","No"
"260",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"261",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"261",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"262",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"263",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"264",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"265",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"266",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"267",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"268",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"269",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"270",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"271",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"271",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"272",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"273",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"274",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"275",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
